ID,ADI,DURAK_KODU,geometry
579094,SANAYİ MAHALLESİ,125152,POINT (28.8163759999835 41.0450670005608)
579039,BAHÇELER,123261,POINT (28.8246709999835 41.0610010005631)
290901,SULTANBEYLİ PERONLAR,415151,POINT (29.296855999994 40.9382900005441)
56,TUZLA EMLAK KONUTLARI,209081,POINT (29.3156969999944 40.8692990005332)
206,NECİP FAZIL KISAKÜREK CAMİİ,229661,POINT (29.3401440013839 40.8642349647301)
229,ADIVAR SOKAK,260472,POINT (29.3271119999945 40.8716970005336)
314,BAHAR CADDESİ,212262,POINT (29.3267669999945 40.8684880005331)
319,BAHÇELER,212291,POINT (29.3237919999944 40.8753050005341)
68,23 NİSAN CADDESİ,205471,POINT (29.3647659999949 40.8283920005268)
189,EKİN SOKAK,229572,POINT (29.3660300097883 40.8435389785238)
252,GÜNNUR SOKAK,209642,POINT (29.3631849999948 40.8482530005299)
406,NARİN SOKAK,228421,POINT (29.3601129999948 40.8377370005283)
374,TUZLA MARİNA,225872,POINT (29.3210159999945 40.8220500005258)
487,BARBAROS İLKOKULU,213122,POINT (29.3898989740227 40.7889109573265)
490,ÇELİKOĞLU CADDESİ,230031,POINT (29.3956000000079 40.7886999991214)
496,ÇAYIROVA İTFAİYE,250101,POINT (29.408129031773 40.8360800394596)
500,SARMAŞIK SOKAK,250131,POINT (29.4051090019706 40.8501301928969)
